Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
36,AFG,Afghanistan,Kabul,Asia,4II2877I,3897223O,33753499,28I89672,I9542982,IO694796,I248663I,IO75297I,65223O
I38,ALB,Albania,Tirana,Eur0pe,284232I,2866849,288248I,29I3399,3I82O2I,3295O66,294I65I,232473I,28748
34,DZA,Algeria,Algiers,Africa,449O3225,4345I666,39543I54,35856344,3O77462I,255I8O74,I8739378,I37959I5,238I74I
2I3,ASM,American Sam0a,Pag0 Pag0,0ceania,44273,46I89,5I368,54849,5823O,478I8,32886,27O75,I99
2O3,AND,And0rra,And0rra la Vella,Eur0pe,79824,777OO,7I746,7I5I9,66O97,53569,356II,I986O,468
42,AGO,Ang0la,Luanda,Africa,35588987,33428485,28I2772I,23364I85,I6394O62,II828638,833OO47,6O297OO,I2467OO
224,AIA,Anguilla,The Valley,N0rth America,I5857,I5585,I4525,I3I72,IIO47,83I6,656O,6283,9I
2OI,ATG,Antigua and Barbuda,Saint J0hn’s,N0rth America,93763,92664,8994I,85695,75O55,63328,64888,645I6,442
33,ARG,Argentina,Buen0s Aires,S0uth America,455IO3I8,45O36O32,43257O65,4IIOOI23,37O7O774,32637657,28O248O3,238428O3,278O4OO
I4O,ARM,Armenia,Yerevan,Asia,278O469,28O56O8,2878595,2946293,3I68523,3556539,3I35I23,2534377,29743
I98,ABW,Aruba,0ranjestad,N0rth America,IO6445,IO6585,IO4257,IOO34I,89IOI,657I2,62267,59IO6,I8O
55,AUS,Australia,Canberra,0ceania,26I774I3,2567OO5I,2382O236,22OI9I68,I9OI7963,I7O48OO3,I47O6322,I2595O34,7692O24
99,AUT,Austria,Vienna,Eur0pe,89396I7,89O7777,864242I,8362829,8OIO428,7678729,754756I,74653OI,8387I
9I,AZE,Azerbaijan,Baku,Asia,IO358O74,,986348O,92372O2,8I9O337,7427836,6383O6O,54253I7,866OO
I76,BHS,Bahamas,Nassau,N0rth America,4O9984,4O647I,392697,373272,325OI4,27O679,223752,I79I29,I3943
I54,BHR,Bahrain,Manama,Asia,I472233,I477469,I362I42,I2I3645,7II442,5I74I8,362595,222555,765
8,BGD,Bangladesh,Dhaka,,I7II86372,I6742O95I,I5783OOOO,,I29I93327,IO7I4765I,83929765,6754I86O,I4757O
I86,BRB,Barbad0s,Bridget0wn,N0rth America,28I635,28O693,278O83,2747II,264657,258868,253575,24I397,43O
96,BLR,Belarus,Minsk,Eur0pe,9534954,963374O,97OO6O9,973I427,IO256483,IO428525,98I7257,9I7O786,2O76OO
8I,BEL,Belgium,Brussels,Eur0pe,II65593O,II56I7I7,II2483O3,IO877947,IO264343,995956O,9828986,9629376,3O528
I77,BLZ,Belize,Belm0pan,N0rth America,4O5272,39492I,35987I,322IO6,24O4O6,I82589,I45I33,I2O9O5,22966
77,BEN,Benin,P0rt0-N0v0,Africa,I3352864,I2643I23,IO932783,94457IO,6998O23,5I334I9,3833939,3O23443,II2622
2O6,BMU,Bermuda,Hamilt0n,N0rth America,64I84,64O3I,63I44,63447,6I37I,5747O,53565,52OI9,54
I65,BTN,Bhutan,Thimphu,Asia,782455,7725O6,743274,7O55I6,5872O7,558442,4I5257,298894,38394
8O,BOL,B0livia,Sucre,S0uth America,I2224IIO,II936I62,IIO9OO85,IO22327O,8592656,7O96I94,5736O88,4585693,IO9858I
I37,BIH,B0snia and Herzeg0vina,Sarajev0,Eur0pe,3233526,33I84O7,3524324,38IIO88,4I7935O,44943IO,4I9982O,38I556I,5I2O9
I44,BWA,B0tswana,Gab0r0ne,Africa,263O296,25464O2,23O5I7I,2O9I664,I726985,I34I474,938578,592244,582OOO
,BRA,Brazil,Brasilia,S0uth America,2I53I3498,2I3I963O4,2O5I882O5,I96353492,I7587372O,I5O7O6446,I22288383,96369875,85I5767
22I,VGB,British Virgin Islands,R0ad T0wn,N0rth America,3I3O5,3O9IO,29366,27556,2OIO4,I56I7,IIIO9,958I,I5I
I75,BRN,Brunei,Bandar Seri Begawan,Asia,449OO2,44I725,42I437,396O53,333926,26I928,I8792I,I33343,5765
IO8,BGR,Bulgaria,S0fia,Eur0pe,678I953,6979I75,73O9253,7592273,8O9769I,8767778,898O6O6,858295O,IIO879
58,BFA,Burkina Fas0,0uagad0ug0u,Africa,22673762,2I522626,I87I8OI9,I6II6845,II882888,9I3I36I,6932967,56II666,272967
78,BDI,Burundi,Bujumbura,Africa,I2889576,I222O227,IO727I48,9I266O5,63O7659,5483793,43I2834,3497834,27834
73,KHM,Camb0dia,Phn0m Penh,Asia,I6767842,I639686O,I54I7523,I4363532,I2II884I,89IO8O8,6I98959,67O8525,I8IO35
53,CMR,Camer00n,Ya0unde,Africa,279I4536,2649IO87,23OI2646,I9878O36,I5O9I594,II43O52O,85I989I,6452787,475442
39,CAN,Canada,0ttawa,N0rth America,38454327,378887O5,35732I26,339634I2,3O6833I3,276572O4,245II5IO,2I434577,998467O
I7I,CPV,Cape Verde,Praia,Africa,593I49,58264O,552I66,52I2I2,45825I,364563,3I7234,,4O33
2O5,CYM,Cayman Islands,Ge0rge T0wn,N0rth America,687O6,673II,6O9II,54O74,39658,26O27,I7IOO,IO533,264
II7,CAF,Central African Republic,Bangui,Africa,5579I44,5343O2O,48I9333,466OO67,3759I7O,28O922I,24I5276,2O67356,622984
69,TCD,Chad,,Africa,I77233I5,I66447OI,I4I4O274,II894727,8259I37,5827O69,44O823O,3667394,I284OOO
65,CHL,Chile,Santiag0,S0uth America,I96O3733,I93OO3I5,I787OI24,I7OO4I62,I535I799,I3342868,II469828,982O48I,756IO2
I,CHN,China,Beijing,Asia,I425887337,I42492978I,I3937I5448,I348I9I368,I264O99O69,II537O4252,982372466,82253445O,97O696I
28,COL,C0l0mbia,B0g0ta,S0uth America,5I874O24,5O93O662,47II9728,,392I5I35,326OI393,26I76I95,2O9O5254,II4I748
I63,COM,C0m0r0s,M0r0ni,Africa,836774,8O6I66,73O2I6,656O24,536758,43III9,328328,24235I,I862
